id,path,title,cv_count,etype,volume
69,ec-concier.com/tag,ec-CONCIER,0,pageview,4
70,ec-concier.com/sites/4526/campaigns,ec-CONCIER,0,pageview,4
71,ec-concier.com/sites/50/campaigns,ec-CONCIER,0,pageview,4
72,ec-concier.com/）を/biz/,ご指定のページが見つかりません | 無料Web接客ツール「ecコンシェル」,0,pageview,4
73,ec-concier.com/sites/4637/campaigns/10084/edit,ec-CONCIER,0,pageview,4
74,ec-concier.com/sites/4254/kpi_dashboard/basics,ec-CONCIER,0,pageview,4
75,ec-concier.com/credit_card,ec-CONCIER,0,pageview,4
76,ec-concier.com/sites/3974/campaigns/10049,ec-CONCIER,0,pageview,4
77,info.ec-concier.com/post/166773760929/newprice,ecコンシェルブログ • ecコンシェルの料金改定をいたします（11月1日〜）,0,pageview,4
78,ec-concier.com/sites/4637/campaigns/new,ec-CONCIER,0,pageview,4
79,ec-concier.com/sites/4686/kpi_dashboard/basics,ec-CONCIER,0,pageview,4
80,ec-concier.com/sites/4760/campaigns/9431,ec-CONCIER,0,pageview,4
81,ec-concier.com/sites/4313/campaigns,ec-CONCIER,0,pageview,4
82,ec-concier.com/sites/4649/kpi_dashboard/basics,ec-CONCIER,0,pageview,4
83,ec-concier.com/sites/4864/kpi_dashboard/basics,ec-CONCIER,0,pageview,4
84,ec-concier.com/sites/4865/kpi_dashboard/basics,ご指定のページが見つかりません | 無料Web接客ツール「ecコンシェル」,0,pageview,4
85,ec-concier.com/sites/4864/campaigns/10076,ec-CONCIER,0,pageview,4
86,info.ec-concier.com/post/165540336024/newwidgets,ecコンシェルブログ • ウィジェットに新機能追加（ステップウィジェット、新テンプレートの追加）,0,pageview,4
87,ec-concier.com/sites/1404/campaigns,ec-CONCIER,0,pageview,4
88,ec-concier.com/blog/,ecコンシェルブログ,0,pageview,3
89,ec-concier.com/sites/4304/kpi_dashboard/basics,ec-CONCIER,0,pageview,3
90,ec-concier.com/sites/2404/campaigns/10106,ec-CONCIER,0,pageview,3
91,ec-concier.com/sites/2963/campaigns,ec-CONCIER,0,pageview,3
92,ec-concier.com/sites/3686/campaigns/new,ec-CONCIER,0,pageview,3
93,ec-concier.com/sites/4526/action_scenarios/31100,ec-CONCIER,0,pageview,3
94,ec-concier.com/sites/4702/campaigns,ec-CONCIER,0,pageview,3
95,ec-concier.com/sites/2480/kpi_dashboard/basics,ec-CONCIER,0,pageview,3
96,ec-concier.com/sites/19/kpi_dashboard/basics,ec-CONCIER,0,pageview,3
97,ec-concier.com/example/case7/,Webサイトに滞在しているお客様の離脱率を下げる（接客シナリオ7） | 無料Web接客ツール『ecコンシェル』,0,pageview,3
98,ec-concier.com/sites/2926/kpi_dashboard/basics,ec-CONCIER,0,pageview,3
99,ec-concier.com/example/case2/,Webサイトのメルマガ会員を増やす（接客シナリオ2） | 無料Web接客ツール『ecコンシェル』,0,pageview,3
100,ec-concier.com/sites/2477/campaigns,ec-CONCIER,0,pageview,3
101,ec-concier.com/sites/4862/kpi_dashboard/basics,ec-CONCIER,0,pageview,3
102,,その他,0,others,1
